tanggal,judul,narasi
7-Oct-19,Presiden Jokowi Melecehkan Bendera Merah Putih,"coba dilhat baik yang melecehkan bendara Indonesia yang mana? tapi nyatanya yang sekarang di tahan di Polda metro yang pegang bendara merah putih di tangan, mohon yang punya kekuatan hukum advokat pengacara atau apa saja minta tolong didampingin anak STM ini kasihan tidak ada yang membelanya."
3-Sep-19,Suntingan Video Merry Riana Indonesia Bubar?,VIRAL: INDONESIA BUBAR ? INI VIDEO MERRY RIANA YANG ASLI (TONTON SAMPAI HABIS) ! |
3-Sep-19,Semua Yang Berbau Jawa Di Jayapura Hancur,Video KEADAAN TERAKHIR jayapura mau ke BANDARA saja sampai 3 hari dan dikawal MARINIR DIEVAKUASI semua yg berbau JAWA HANCUR !
21-May-19,Am Hendropriyono Meninggal Di Singapura,"INNALILAHIWAINALRAJIUN.
TELAH MATI SEORANG PEMBANTAI RAKYAT HENDROPRAYONO D SINGAPOREJGN D UCAPI MENINGGAL.KARNA DIA PEMBANTAI MANUSIA"
8-Feb-19,Bahaya Semut/Kutu Jepang Utk Diabetes.,"INFO : Bahaya Semut/Kutu Jepang utk DIABETES.
Ada sahabat sy (ibu2) di Magelang pengidap Diabetes, kmd dia konsumsi Semut/Kutu Jepang yg katanya bisa mengobati Diabetes, mungkin benar karena Semut itu mengeluarkan insulin.
Tapi hanya dalam waktu SATU TAHUN mengkonsumsi Semut/Kutu Jepang itu, ternyata ususnya terkena bakteri dan rusak, sehingga harus dipotong ususnya."
6-Feb-19,Cnn Indonesia Buat Berita Berjudul Sertifikat Ganda Kerja Rezim Jokowi,"CNN INDONESIA

SERTIFIKAT GANDA KERJA REZIM JOKOWI
10 November 2018"
3-Feb-19,Paham Politik Gak Sih Pak?,"Aduh pak, bukan kelemahannya pak Jokowi itu,
anda yang gak mudeng, justru itu yang bikin anda dan kampret makin terlihat bodoh,
paham politik gak sih pak?"
9-Sep-18,Judul Berita Prabowo: Mengaji Tidak Dibutuhkan Dalam Memimpin Negara,"ah Pokoknya apa kata Prabowo laaah.
 Amin Rais jangan nyinyir yaaaa keh keh keh"
30-Jun-18,Kalimantan Barat Memanas,"MENANG SONGONG, KALAH NGAMUK!"
25-May-18,"Tersangka Ujaran Kebencian Dosen Usu, Himma Dewiyana, Dibebaskan",Terima kasih bang Romo Syafii dan Ketua KAHMI telah membantu membebaskan ibu Himma.
16-Apr-18,Dedi Mulyadi Menghamili Siswi Mts,"Bupati Purwakarta yang kini menjadi Calon Wakil Gubernur Jawa Barat, Dedi Mulyadi pernah membantah informasi yang mengatakan dirinya menghamili siswi Mts. Yang sebenarnya terjadi kata Dedi adalah Ia menjadi saksi nikah dari seorang anak tokoh masyarakat Sumedang yang tengah hamil dengan yang menghamilinya."
21-Feb-18,"Di Tuduh Curi Medali Milik Bambang Pamungkas, Muhammad Yusuf Buka Suara","Mantan Ketua Umum Jakmania, Larico Ranggamone : Soal yang ramai medali Bepe hilang ditunjukkan kepada M Yusuf ini, itu medali palsu didapat dari tantenya dari PSSI. Itu beda dari medali yang didapat tim Persija."
31-Jan-18,Malam Nanti Jam 3:25 Pagi Bulan Akan Mengelilingi Kabah,"Malam nanti jam 3:25 pagi bulan akan mengelilingi Kabah dan langit akan berwarna biru muda, inilah saat penerimaan doa,taubat,munajat,ini *terjadi setiap 100 ribu tahun sekali,
 *Hari ini di malam hari siapa pun yang berdoa akan diterima. Bulan akan melakukan Tawaaf di sekitar Kabah.
 Tolong sampaikan ini kepada semua orang. *Rabbi minkulli zambi waatubu illiahi. , jika kamu mengirim doa ini ke temanmu, Allah akan menyelesaikan semua masalahmu.
 Tolong kirimkan ini ke Setiap orang dekat Kita sehingga mereka bisa mengetahui . .
 semoga bermanfaat Aamiin"
30-Nov-17,Pendaftaran Peserta Uji Nyali Masih Dunia Lain Trans 7 Di Pabrik Mercon,"PENDAFTARAN PESERTA ACARA UJI NYALI MASIH DUNIA LAIN TELEVISI TRANS 7 :
Buat para spookiers yang pengen ikutan uji nyali, langsung kirim data melalui email, data yang perlu diisi adalah;
Nama :
Umur :
Alamat :
Pekerjaan :
Motivasi ikut uji nyali :
No Telp :"
9-Nov-17,"Kartu Sim Xl, Indosat, Smarfren, Dan Telkomsel Disadap Badan Intelijen As","Kemenkominfo melalui Badan Regulasi Telekomunikasi Indonesia (BRTI) menyatakan telah menerima laporan investigasi operator seluler terkait dugaan penyadapan pada kartu SIM buatan Gemalto ( Hutchinson 3, XL Axiata, Indosat, Telkomsel) oleh badan intelijen AS, National Security Agency (NSA) dan Government Communication Headquarter (GCHQ)."
