tanggal,judul,narasi
21-May-20,Koreksi Post Empat Ton Telur Bansos Pemprov Jabar Membusuk,Berkaitan juga dengan koreksi sebelumnya di: [BERITA] Perkembangan Informasi Empat Ton Telur Bansos Pemprov Jabar Membusuk di Gudang Penyimpanan Bulog Garut https://bit.ly/2WWv877 Tim Redaksi dan Pemeriksa Fakta MAFINDO memohon maaf atas ketidaknyamanan yang ditimbulkan. Selengkapnya di bagian PENJELASAN dan REFERENSI.
27-Feb-19,Klarifikasi Polres Bogor Terkait Pembuatan Sim Tanpa Tes Rp. 150 Ribu Di Acara Millenial Road Safety Festival,"Benar Ada Cara Millenial Road Safety Festival Polres Bogor hari Minggu Tanggal 3 Maret 2019, tapi tidak ada pembuatan SIM tanpa tes, hanya ada Pelayanan SIM Keliling khusus Perpanjangan SIM,"
19-Jul-18,Menpan-Rb Bantah Maju Sebagai Caleg,Asman justru membantah
5-Jun-18,Manajemen Garuda Indonesia Tegaskan Tidak Ada Penjualan Atau Penawaran Saham Kepada Perusahaan China,"Berita tersebut sama sekali tidak benar,"
16-Jan-18,Kursi Di Gbk Rusak Parah Pasca Laga Indonesia Vs Islandia,"VIRALKAN! BARU DIRESMIKAN, SUPORTER TIMNAS RUSAK KURSI SUGBK MINGGU MALAM
#nowupdate @depasarnow
Tingkah dan Ulah Suporter Timnas Indonesia yang tak Pantas Ditiru
Sedih ngeliat foto-foto ini, beberapa oknum suporter nampak tidak menggunakan dan menghargai fasilitas Stadion Utama Gelora Bung Karno yang saat ini tampilan barunya mewah dan cantik, tidak kalah dengan stadion-stadion Eropa."
30-Oct-17,Polisi Laporkan 30 Akun Penyebar Hoax Girder Flyover Tol Ambruk,Polisi Laporkan 30 Akun Penyebar Hoax Girder Flyover Tol Ambruk
27-Aug-17,: Penjelasan Bpom Terkait Hoax Serta Isu Mengenai Makanan,Penjelasan BPOM Terkait Hoax Serta Isu Mengenai Makanan
28-Jan-17,"The Habibie Center, Drone Emprit: Breaking The Chambers Walls","The Habibie Center, Drone Emprit: Breaking the chambers walls"
9-Dec-16,: Tim Sari Roti Sombong Menanggapi Isu Boikot,"Produk ROTI kan banyak di jual di minimarket, pasarnya juga menengah ke atas. Sudah dikenal orang banyak, jadi saya pikir tidak berpengaruh yah"
1-May-16,Ahok Minta Warga Luar Batang Wakafkan Tanah Untuk Plaza,"Ahok Minta Warga Luar Batang Wakafkan Tanah untuk Plaza, Warga: Kenapa Bukan Apartemen yang Diwakafkan?"
29-Jan-16,Pentingnya Literasi Media,Pentingnya Literasi Media
11-Oct-18,Cairan Dalam Wadah Mainan Anak Yang Menyerupai Pisang Tidak Mengandung Narkoba,"Telah beredar informasi melalui media sosial tentang beredarnya minuman semprot mengandung narkoba dikalangan anak SD. Informasi tersebut tidak benar/hoax. Be smart netizen, #BeSmartNetizen"
05-Okt-18,Gempa Palu Bukan Penyebab Erupsi Gunung Soputan,"Pusat Vulkanologi Dan Mitigasi Bencana Geologi (PVMBG), Badan Geologi, Kementerian Energi Dan Sumber Daya Mineral (ESDM) menegaskan bahwa peningkatan aktivitas vulkanik Gunung Soputan di Sulawesi Utara bukan akibat gempa bumi di Palu."
21-Sep-18,Indomaret Klarifikasi Tayangan Tv Jokowi Yang Di Protes Kader Partai Demokrat,"Saya secara pribadi akan memboikot Indomaret, tidak akan belanja dijaringan Indomaret krn iklan ini. Yang mau ikut boikot, silahkan. Masih ada minimarket yg lain."
02-Agu-18,Hmi Klarifikasi Terkait Isu Memberi Dukungan Politik Ke Partai Berkarya,"agenda silaturahmi dengan beberapa pimpinan partai politik (parpol), khususnya ke Partai Berkarya beberapa waktu lalu, murni untuk membangun sinergitas kelembagaan dan sharing gagasan terkait persoalan kebangsaan."
5-Oct-17,"Mulai Tahun Depan, Pdip Minta Mui Agar Babi Panggan Halal.","MULAI TAHUN DEPAN, PDIP MINTA MUI AGAR BABI PANGGAN HALAL UNTUK DIKONSUMSI DIKALANGAN MASYARAKAT TERMASUK PESANTREN"
4-Sep-17,Bawa Langsung Lansia Ke Rumah Lansia Atmabrata,"Teman2 terkasih, kalau kenal/tahu lansia yg tidak punya rumah, tdk ada keluarga yg urus, atau tidak punya tempat berteduh, boleh bawa ke Rumah Lansia Atmabrata di Jln. Cilincing Baru 5 No: 29, Jakarta yg dikelola oleh. Bruder Petrus Partono dan tim. HP Bruder Petrus : (+62)8212 5141 621. Tidak pandang suku dan agama, siapa saja boleh mendapatkan tempat berteduh, makanan, pengobatan, dan perhatian.
 Bantu share ke grup lain.:pray:"
31-Oct-18,"Sri Mulyani Beri Klarifikasi Terkait Sajak Yang Berisi Tentang Keluarga, Kehilangan Dan Lion Air Jt 610","Setelah setelah saya konfirmasi, beliau menyatakan tidak membuat tulisan tersebut"
10-Sep-18,Tni: Indonesia Tidak Langgar Perbatasan Timor Leste,"David Diaz Ximenes, anggota Komisi VIII Parlemen Nasional Bidang Pertahanan dan Kerjasama Luar Negeri Timor Leste sempat menuduh ada warga negara Indonesia dari Desa Manusasi sudah melanggar perbatasan antara Indonesia-Timor Leste."
27-Jun-18,Sindrom Siklopia,Cyclopia (juga cyclocephaly atau synophthalmia) adalah bentuk langka dari holoprosencephaly
29-Nov-17,Sering Minum Es Dapat Sebabkan Batuk Dan Pilek,Jangan minum air es terlampau banyak. Ingatlah bahwa Anda saat ini sudah mulai batuk dan pilek.
3-Jul-16,Larangan Takbiran Di Dki Jakarta,"UNDANGAN TERBUKA UNTUK UMAT ISLAM
 
 Untuk menghidupkan malam Idul Fitri, sekaligus melestarikan tradisi Muslim di Nusantara, Front Pembela Islam (FPI) akan menggelar acara TAKBIRAN KELILING BESAR-BESARAN, pada:"
4-Apr-19,Kpu Bantah Tuduhan Server Disetting Untuk Menangkan Jokowi 57% Dan Akan Lapor Bareskrim,"Breaking News:exclamation: Pak wahyu mantan staff jokowi di solo bongkar server KPU di singapur udh setting kemenangan 01 57%, jebol salah satu dari 7 servernya. Sebarkan. Viralkan :loud_sound"
27-Dec-18,"Muncul Isu Akan Terjadi Gempa Di Palu Pada 28 Desember 2018, Bmkg Angkat Bicara","Kepala Stasiun Geofisika Klas I Palu, Cahyo Nugroho: Isu itu tidak benar atau hoax, belum ada teknologi yang dapat memprediksi akan terjadinya suatu gempa bumi di sebuah wilayah,"
19-Jul-18,Pesawat Citilink Qg 801 Rute Semarang-Surabaya Tidak Hilang,Manajemen Citilink Indonesia memastikan keselamatan dan keamanan setiap penerbangan
3-Feb-18,Mantan Presiden Ri Ke 3 Di Nobatkan Sebagai Pemilik Iq Tertinggi Sepanjang Sejarah Manusia Namun Di Sia Siakan Oleh Bangsa Indonesia,"#MCA_BreackingNews_UpdateNEWS
 MOHON DOA NYA SEJENAK
 Kabar dari wadir RSPAD.
 MANTAN PRESIDEN RI KE 3 DI NOBATKAN SEBAGAI PEMILIK IQ TERTINGGI SEPANJANG SEJARAH MANUSIA NAMUN DI SIA SIAKAN OLEH BANGSA INDONESIA
 Sebuah situs Opishposh.com telah merilis 10 Manusia dengan IQ tertinggi dengan judul People With The Highest IQ Ever Recorded sbb : [.]"
16-Oct-17,Luhut Melarang Anies Merombak Pejabat Dki,Punya kewenangan apa si mantan jendral yang sengak ini ?
18-Jul-17,Uang Rupiah Baru Bertandatangan Menteri Keuangan,"Coba perhatikan tanda tangan yg tercantum dalam uang rupiah cetakan lama dan yg baruada perbedaan yg sangat prinsip.
 Intinya.uang rupiah yang lama di ttd Gubernur BI dan salah satu deputy BIuang baru di ttd Gub BI dan menteri keuangan.
 Semua uang yg baru tanda tangannya.ada campur tangan pemerintahyg selama ini nggak pernah menteri keuangan ikut ttd uang rupiah.
 Uang baru mencantumkan tulisan Negara Kesatuan Republik Indonesia menghilangkan tulisan Bank Indonesia (hanya ada dicantumkan di muka belakang).
 Satu lagi."
27-Jan-17,Anda Pernah Membully Orang Lain?,"Anda pernah membully orang lain?
 Tafsir al-Hujurat ayat 11"
25-Nov-16,: Cara Menandai Situs Berita Palsu,Cara ini membuat Anda bisa mencegah berita bohong atau hoax tersebar lebih luas dengan mengetahui keaslian dari suatu situs berita.
30-Sep-15,Bisnis Penjualan Fanpage,Bisnis Penjualan Fanpage
17-Sep-19,"Lpg, Liquified Petroleum Gas","Merasa ditipu karena isi tabung gas berupa air, dua pria ini terbakar saat mengeluarkan air dari tabung gas tersebut. Padahal namanya LPG liquified Petroleum gas"
20-May-19,Klarifikasi Bin Terkait Pesan Berantai Yang Sebut 29 Tokoh Pendukung Prabowo-Sandiaga Sedang Dimonitori Oleh Aparat,29 Tokoh Pendukung Capres 02 Kena Motif. Siapa Saja Mereka?
21-Dec-18,"Nunggak Bpjs Tak Bisa Urus Sim-Stnk, Pihak Terkait Berikan Klarifikasi","Penduduk yang belum mendaftarkan diri dan anggota keluarganya setelah tanggal 1 Januari 2019 dikenakan sanksi administrasi berupa PENCABUTAN LAYANAN PUBLIK TERTENTU, meliputi:"
19-Oct-18,"Klarifikasi Bmkg Terkait Prediksi Gempa Bermagnitudo 8,2 Dan Tsunami Di Beberapa Daerah Jateng",Pesan yang beredar sudah dapat dipastikan hoaks
6-Jun-18,"Bukan Hoax, Fpi Ikut Buka Bersama Di Masjidilaqsa","Hadir dalam misi tersebut adalah ustad Bachtiar Nasir dari AQL, juga 
dari FPI, serta beberapa ustad lainnya. Di sela acara itu, ada MoU 
dengan Yayasan IHYA untuk program Palestina,"
12-Apr-18,Klarifikasi Rumah Sakit Umum Cut Nyak Dien  Meulaboh Terkait Isu Keluarnya Dokter Spesialis Jantung Karena Tak Digaji,"Kemarin ini, dokter spesialis jantung itu bernama Dr Kamariah dan benar sempat seminggu pergi, tapi perginya untuk mengurus ijin praktek ke IDI,"
8-Mar-18,"Dituding Menculik Dan Berat Sebelah Pada Kasus Pt. Rum, Kapolres Sukoharjo Beri Klarifikasi","Kapolres Sukoharjo AKBP, Iwan Saktiadi : Tidak ada istilah diculik. Kita saat melakukan penangkapan menemui keluarganya. Kalau mahasiswa mengatakan diculik mohon ditelisik kembali kata diculik asalnya dari mana. Apa logika mereka, kami datang jelas dengan surat perintah tugas,"
15-Jan-18,Zuckerberg Ungkap Facebook Segera Dirombak,"Dalam setahun terakhir, Facebook dikritik tajam karena dianggap sebagai tempat penyebaran informasi palsu atau hoax yang membuat pengguna terpecah belah. Selain itu beberapa mantan eksekutif Facebook juga mengkritik bahwa media sosial ini tidak bermanfaat."
17-Jul-16,Arti Kata Pokemon Dalam Bahasa Syriac Yang Berarti Aku Yahudi,"Dalam sebuah dokumen negara yang dirampas pasukan Amerika Serikat, ketika melakukan kudeta pada 2004 lalu, terungkap bahwa ada tindakan tidak terpuji atau pesan negatif yang terdapat di balik film itu."
28-Nov-15,Jokowi Lebih Memilih Helikopter Buatan Luar Negeri Dibandingkan Buatan Pt Dirgantara Indonesia,"INSTING MAKELAR
 
 AKU Awalnya kaget, membaca berita dari berbagai Media nasional soal Pembelian Hellikopter Presiden jokowi.
 Dalam berita banyak disebutkan PT.DI Produksi Hellikopter sendiri jenis EC-725 dan lebih canggih, kenapa Pemerintah membeli Helikppter VVIP AW101 produksi Italia dan Inggris itu ?"
10-Okt-18,Kemunculan Video Matahari Terbit Lebih Dari Satu Yang Diklaim Terjadi Di Kepulauan Riau,KEMUNCULAN VIDEO MATAHARI TERBIT LEBIH DARI SATU YANG DIKLAIM TERJADI DI KEPULAUAN RIAU
8-May-18,Ormas Projo Bantah Keluarkan Surat Aksi Kiri Super Senyap,"Kami sudah terbiasa menghadapi fitnah seperti ini. Apa yang beredar di media sosial itu hoax. Dari bahasanya, karakter penulisannya, dan struktur kalimatnya, sangat mudah ditebak pelakunya. Kader dan simpatisan Projo sangat cerdas dan paham siapa pelakunya. Gampang ditebaklah, ha-ha-ha"
9-Mar-18,Klarifikasi Terkait Kasus Perusakan Kapel Santo Zakaria Di Ogan Ilir,"Gubernur Sumatera Selatan Alex Noerdin mengatakan, perusakan rumah ibadah atau kapel tersebut murni kriminal"
24-Feb-18,Polisi Buru Ormas Yang Jadi Dalang Berita Hoaks Soal Penyerangan Ulama,Polisi Buru Ormas yang Jadi Dalang Berita Hoaks soal Penyerangan Ulama
