,ID,tanggal,judul,narasi,label
41,41,3-Dec-19,Pergantian Kartu Keluarga Warga Dki Jakarta,"Dinas Dukcapil Jakarta tidak mewajibkan warga Jakarta mengganti KK lamanya dengan tenggat waktu. Imbauan untuk segera memutakhirkan data memang terus didorong pemerintah, terutama input data status pernikahan, golongan darah, dan susunan anggota keluarga.",1
42,42,27-Nov-19,Usus Ibunya Dimakan Oleh Bayi Ini,"Bayi ini 11 bln dlm perut ibunya.
 Habis usus ibunya dimakan oleh Bayi ini, kemudian dokter mengoprasi ibunya untuk mengeluarkan Bayi ini Ketika Bayi ini keluar, dia gigit tangan perawat Setelah 3 jam si Perawat meninggal, IBU Bayi ini pun meninggal setelah Bayi ini keluar Bayi ini lahir dgn berat 8 kg, setelah 3 jam bertambah naik beratnya menjadi 13 kg Bayi ini lahir hari jumat, tidak tahu Allah ingin kasi peringatan apa untuk kita semua Bayi ni kemudian dibunuh, dokter memberinya suntik mematikan sampai 17 kali baru bayi ini mati Ini kisah benar-benar terjadi di India Wallahu Alam",1
43,43,15-Oct-19,Foto Awan Mengerikan Di Jepang,"Ngeri si, semoga tmn2 yg ada disana selamat amin yrb #PrayForJapan",1
44,44,19-Sep-19,Narasi Presiden Korea Utara Menghukum Pejabatnya Yang Korupsi,"Presiden Korea Utara menghukum pejabatnya yang terlibat dalam kasus korupsi dihadapan para awak media cetak dan elektronik.
 
 Caranya ?
 Berrjalan bergandengan tangan lalu
 Plung ! Dibawahnya kandang BUAYA! Luaaaar biasaaa!",1
45,45,14-Sep-19,Almarhum Habibie Di Formasi Jas Merah Mob Umm,"Adapun formasi tersebut adalah merah-putih, KH Ahmad Dahlan, Logo UMM, Students Today, Leaders Tomorrow, Peta Indonesia, dan Pray for Lombok.",1
46,46,9-Aug-19,Petugas Tewas Tersetrum Ketika Melakukan Perbaikan Listrik,KECAMATAN PEDURUNGAN,1
47,47,23-Apr-19,Tv Luar Negeri Sudah Memberitakan Prabowo The Next Presiden,TV Luar Negeri Sudah Memberitakan Prabowo The Next Presiden,1
48,48,16-Apr-19,Ketua Kpu Umroh Bareng Jokowi,"ANEH ! MENJELANG HARI H PEMILU KOQ BISA2NYA KETUA KPU UMROH BARENG JOKOWI ? PADAHAL BANYAK MASALAH DI KPU SAAT INI TERUTAMA DI KPLN.
BUKANKAH INI PELANGGARAN ?",1
49,49,21-Feb-19,Tiket Promo Kereta Api Hut Bumn 21,"jalan2 naik kereta yuuuuk
 
 Hayo jalan2 Tiket KA Promo",1
50,50,25-Dec-18,Simulasi Orang Gila Di Bawa Ke Tps Saat Pemilu Nanti,Simulasi orang Gila di bawa ke TPS saat pemilu nanti.Pertama terjadi Di Dunia!,1
51,51,18-Dec-18,Broadcast Whatsapp Info Test Seleksi Gtt/Ptt,"Tabe. Siapa tahu ada keluargata yg guru SMA, ini ada info",1
52,52,3-Dec-18,Puan Maharani Buka Posko Logistik Di Reuni 212,"INFO. BUAT ALUMNI 212 HARAP HINDARI POSKO 14 DI MONAS, POSKO 14 MILIK PUAN MAHARANI YANG MENUJU KE ISTIQLAL. SEBARKAN AGAR JAMAAH YANG LAIN TAU",1
53,53,02-Okt-18,Penerbangan Pesawat Hercules Gratis Ke Palu Untuk Keluarga Korban Gempa Dan Tsunami,Jadwal Hercules malam ini jam 19.00 dan 03.00 subuh besok. Di Lanud Makassar.,1
54,54,29-Agu-18,Capt. Pribadi Adalah Pengemudi Pesawat Yang Mengijinkan Hj. Neno Warisman," Capt. Pribadi adalah pengemudi pesawat yang mengijinkan Hj. Neno Warisman, sang dedengkot gerakan makar #2019GantiKhilafah untuk menggunakan sistem pengeras suara pesawat beberapa waktu lalu ",1
55,55,17-Jul-18,"Coach Indra Sjafri: Saya Pernah 1 Tahun Tak Digaji, Tapi Ikhlas",Kendati sukses mengantarkan Timnas Indonesia U-19 juara Piala AFF U-19 2013 dan lolos ke putaran final Piala Asia U-19 2014,0
56,56,30-May-18,Dua Alquran Yang Diklaim Sebagai Al-Quran Palsu Kembali Beredar,ini alquran palsu karang orang kafir,1
57,57,5-May-18,Yel-Yel Kecebong Yang Merencanakan Untuk Menyusup Di Cfd,"Ane sebarin deh videonya. Nih liat yel-yel kecebong yg merencanakan untuk menyusup di CFD untuk menghancurkan HASTAG #2019GantiPresiden.
 Cc. @BangPino_ @NetizenTofa @zarazettirazr @roninkhalid @Ndoro__Putrie @RestyCayah @ardi_riau
 .DAN ALLAH SEBAIK-BAIK PEMBALAS TIPU DAYA",1
58,58,28-Apr-18,Kronologis Polisi Berondong Sedan Terobos Razia Di Lubuklinggau,"Innalillah Hanya Karena Lalai Terobos Razia, Mobil Berisi Satu Keluarga Ditembaki Polisi, Satu Orang Tewas",0
59,59,26-Apr-18,Kemristekdikti: Bukan Undang Dosen Asing Tapi Profesor Kelas Dunia,"Bukan dosen asing, tapi profesor kelas dunia. Orang Indonesia pun bisa mengikuti program ini, asalkan dia mengajar di universitas di luar negeri dan mempunyai koneksi dengan peraih Nobel, kata Direktur Jenderal Sumber Daya Iptek dan Dikti Kemristekdikti Ali Ghufron Mukti di Jakarta, Selasa",0
60,60,14-Mar-18,"Kecam Pernyataan Said Aqil, Neno Warisman: Kami Para Ibu Tidak Terima!","Kecam Pernyataan Said Aqil, Neno Warisman: Kami Para Ibu Tidak Terima!
 Pernyataan kontroversial Ketua PBNU Said Aqil Siradj yang mengatakan nonton film porno lebih baik daripada dengarkan ceramah radikal karena sambil istighfar mendapat kecaman dari pegiat pendidikan anak Neno Warisman. Dia menuliskan kemarahannya dalam tulisan berikut ini:",1
61,61,19-Jan-18,Memerangi Allah Of Kung Fu,"Padahal nama tersebut merupakan hasil translate otomatis Google dari game aslinya yang berjudul Galaxy Fighting, God of Kung Fu.",1
62,62,19-Dec-17,Permen Susu Mengandung Narkoba,"Assalamualaikum ini ada informasi dari teman dokter. Anaknya bidan di Banyumas makan permen susu, trus 3 hari gk mau makan, ngefly. Disarankan temen dokter di purbalingga untuk membawa permen tsb ke BNN, ternyata hasilnya positif mengandung narkoba jenis benzodiazepin.",1
63,63,12-May-17,Konser Anies - Sandi No 3 Menang Telak,#KONSER GUE 3 MENANG TELAK,1
64,64,18-Feb-17,Poster Aksi Damai Bela Islam 5 Yang Mencantumkan Nama Dan Foto Gatot Nurmantyo,"Beredarnya poster aksi damai bela Islam 5 menjadi viral di media sosial. Sebab, di dalam poster tersebut terdapat nama dan foto Panglima TNI Jenderal Gatot Nurmantyo",1
65,65,7-Feb-17,Surat C6 Sebagai Syarat Memberikan Hak Pilih Pada Pilkada Dki Jakarta,"Pengumuman penting soal Pilkada DKI 2017. Pemilih Wajib ambil surat C6 on 12  13 Feb dgn pengurus RT. Apabila sampe 14 Feb surat C6 tidak diambil langsung pemilik, RT akan kembalikan ke KPU & warga DKI yg tidak milik C6 hanya bisa memilih jam 12.00  13.00 saja! Bawa E-KTP, SuKet + KK asli. Jika lewat dari pk 13.00 Suara Anda Hangus! Tlg Sebarkan! Thank you",0
66,66,30-Jan-17,: Pernyataan Danjen Kopassus Dukung Fpi,TNI umumnya WARAS kecuali wereng coklatkenapa gitu yah ? masa sih sejarah buruk harus terulang kembalikan serem bgt. DANJEN KOPASSUS :FPI ITU ORMAS TERBESAR DAN SUKA MEMBANTU MEMBERANTAS KEMAHSIATAN. YANG HARUS DIBUBARKAN ORMAS PREMAN YANG SUKA MEMBEKINGI KEMAHSIATAN DAN SUKA BIKIN RESAH MASYARAKAT.,1
67,67,14-Dec-16,Gambar Salib Pada Barang Bantuan Bencana,"hati hati, dan Harus teliti menerima segala bentuk bantuan korban gempa. Kami mendapatkan gambar salib di handuk bantuan yg di edarkan",1
68,68,5-Dec-16,Aksi 212 Dapat Penghargaan Rekor Dunia,Tersebar gambar dua piagam yang menyatakan jika aksi 212 mendapat penghargaan dari REKOR DUNIA,1
69,69,29-Jul-20,Foto Petinggi Kepolisian Mengizinkan Demo Neo Pki,Demo Neo PKI hari ini udah dapat ijin dari Buntelan kentut maaf ralat Dari Petinggi Kepolisian Tinggal tunggu gendering perang ditabuh aja,1
70,70,15-Jun-20,Tulisan Mana Teriakan Saya Pancasila Mu? Oleh Dr Abdul Muti Med,Mana teriakan Saya Pancasila mu ? Oleh : Dr Abdul Muti Med (Sekum PP Muhamadyah),1
71,71,2-Jun-20,"Petugas Rapid Test Jarang Mengganti Sarung Tangan, Bisa Tularkan Covid-19 Dari Pasien Sebelumnya","Bila tiba-tiba anda/panjenengan terjebak dalam oprasi rapid tes dadakan/ujug ujug datang petugas yang mengharuskan mengikuti rapid tes, maka perlu diperhatikan sarung tangan petugs, kalau sarung tangan yang dipakai hanya itu-itu saja (satu) yang dipakai, tanpa ganti ganti, dimana setelah petugas itu pegang orang/oasien yang rapid tes, kemudian tanpa ganti sarung tangan petugas lalu memegang anda/panjenengan, maka disinilah letak rawannya penularan virus nya, karena kita ngga tau dan petugas pun ngga tau, apakah orang yang dipegang sebelum kita tadi, orang tersebut positif/reaktif atau negatif. jadi penularan bukan karena kita berada ditempat umum saja, akan tetapi saat rapid tes dilakukan massal",1
72,72,20-May-20,Video Dokter Bule,"Ini nih dokter bule juga ngomong serupa bahkan ngasih data lebih lengkap & detail. Intinya covid 19 itu biasa aja, nggak mematikan, bisa sembuh sendiri. Mereka juga mengatakan kalau banyak yang meninggal karena penyakit lain tapi dimasukkan ke daftar covid 19 (kirain di sinih aja yang begitu). Lockdown / PSBB justru menimbulkan dampak yang sangat jauh lebih buruk dibanding covid 19.",1
73,73,2-May-20,Vietnam Tidak Ada Korban Meninggal Covid-19 Karena Teh Dan Lemon,Kabar gembira dan istimewa. Vietnam korban covid 19 tidak ada yng matiBerita super. obat virus covid 19 sudah tercapai informasi dari negara Vietnam. virus covid 19 tidak menyebabkan kematian. ternyata resepnya sangat sederhana tapi sangat ampuh. hanya 1 teh.2 lemon.minumlah teh panas setelah di campur perasan lemon.dapat segera membunuh virus covid 19.dan dapat sepenuhnya menghilangkan virus covid 19 dari tubuh2 bahan ini membuat sistem kekebalan tubuh menjadi bersifat basa. karena ketika malam tiba sistem tubuh menjadi asam. kemampuan detensif juga akan berkurang. itulah sebabnya orang Vietnam santai saja dengan menyebarnya virus covid 19 Di Vietnam rata2 semua orang minum segelas air panas dengan sedikit lemon di malam hari Karena telah terbukti membunuh virus covid 19 secara total Bagikan resep sakti ini kepada siapapun untuk memburu pahala Resep sederhana ini sangat efektif karena tidak akan terinfeksi virus covid 19. Atas izin Tuhan YMESelamat mencoba,1
74,74,23-Mar-20,Ratusan Warga China Yang Menetap Di Indonesia Menuju Singapura Karena Virus Corona,"Ratusan warga china yang Menetap di Indonesia tadi Pagi meninggalkan Indonesia Menuju Singapura karena situasi virus Corona yang menyerang Indonesia Mereka akan Kembali lagi jika situasi Di Indonesia Kembali normal,",1
75,75,16-Mar-20,Dua Orang Terinfeksi Virus Corona Di Parepare,Dua orang Terinfeksi Virus Corona Di Parepare Waspada ki semua Tidak main main ini,1
76,76,14-Mar-20,The Simpsons 1993 Memprediksi Corona Virus Dari China,Jangan pernah meremehkan the simpsons the Simpsons 1993. Corona virus dari China.,1
77,77,18-Feb-20,Setelah Membakar Al-Quran Jari Tangan Pria Ini Menghitam Dan Membusuk Mengeluarkan Bau Menjijikan,"Azab yang sangat pedih menimpa seorang warga negara Amerika. Karena merobek-robek dan membakar Al-quran, dia terkena penyakit yang sangat misteri. Semua jari di kedua tangannya melepuh, membusuk, dan menghitam. Selain itu, pada lukanya tersebut juga menimbulkan aroma yang tak sedap.",1
78,78,5-Jan-20,"Marak Lowongan Kerja Mengatasnamakan Perusahaannya, Pt Inalum Minta Masyarakat Waspada","Manajer Humas PT Inalum, Bambang Heru Prayoga: Informasi selain dari yang kami sebutkan ini maka hal itu dipastikan hoaks atau penipuan. Kami harap tidak ada masyarakat yang terkena penipuan rekrutmen atas nama Inalum,",1
79,79,26-Dec-19,Cara Cepat Cek Jantung Dengan Air Dan Es Batu,"*INGIN MENGETAHUI BAGAIMANA KESEHATAN JANTUNG ANDA?*
 Tes sederhana ini mendeteksi seberapa sehat jantung kita.
 Menjaga jantung agar tetap berfungsi dengan baik sangat penting untuk kehidupan sehat jangka panjang.",1
80,80,7-Oct-19,Presiden Jokowi Melecehkan Bendera Merah Putih,"coba dilhat baik yang melecehkan bendara Indonesia yang mana? tapi nyatanya yang sekarang di tahan di Polda metro yang pegang bendara merah putih di tangan, mohon yang punya kekuatan hukum advokat pengacara atau apa saja minta tolong didampingin anak STM ini kasihan tidak ada yang membelanya.",1
81,81,3-Sep-19,Suntingan Video Merry Riana Indonesia Bubar?,VIRAL: INDONESIA BUBAR ? INI VIDEO MERRY RIANA YANG ASLI (TONTON SAMPAI HABIS) ! |,1
82,82,3-Sep-19,Semua Yang Berbau Jawa Di Jayapura Hancur,Video KEADAAN TERAKHIR jayapura mau ke BANDARA saja sampai 3 hari dan dikawal MARINIR DIEVAKUASI semua yg berbau JAWA HANCUR !,1
83,83,26-Jul-19,Bahaya Daging Kurban Dibungkus Kresek Hitam,"Yusuf Ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. Akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama.Yusuf Ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. Akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama.",0
84,84,21-May-19,Am Hendropriyono Meninggal Di Singapura,"INNALILAHIWAINALRAJIUN.
TELAH MATI SEORANG PEMBANTAI RAKYAT HENDROPRAYONO D SINGAPOREJGN D UCAPI MENINGGAL.KARNA DIA PEMBANTAI MANUSIA",1
85,85,22-Mar-19,Penjelasan Terkait Video Truk Kontainer Bergambar Jokowi-Maruf Amin,Truk semi kontainer Paslon 01 ini kira-kira membawa apa ,0
