judul,narasi,label
Kpk Bantah Mengusulkan Pemilihan Kepala Daerah Melalui Dprd,"Kami tegaskan hal tersebut tidak benar. KPK tidak pernah menyimpulkan, apalagi mengusulkan, agar kepala daerah dipilih oleh DPRD",0
Anak Palestina Ditembak Oleh Tentara Israel Dari Jarak Dekat!,"SUBHANALLAH
 Anak Palestina ini berlutut memandangi tentara israel yg menembaknya dari jarak dekat,
 Peluru menembusi jantung nya. Tapi coba Lihat wajah syuhada ini . Tak ada menggambarkan kesakitan",0
Kawal Surat Al-Hujurat 6: Melawan Hoax,Kawal Surat Al-Hujurat 6: Melawan Hoax,0
Pemprov Riau Bantah Akan Rumahkan Ribuan Pegawai Honorer,"Tidak ada itu. Sejauh ini tidak ada pembahasan soal perumahan honorer di BKD, ujar Kepala Badan Kepegawaian Daerah (BKD) Provinsi Riau, Ikhwan Ridwan, Kamis (6/9).",0
: Wortel Dari Cina Yang Bisa Membuat Bodoh Anak,Wortel Dari Cina Yang Bisa Membuat Bodoh Anak,0
Arti Kata Pokemon Dalam Bahasa Syriac Yang Berarti Aku Yahudi,"Dalam sebuah dokumen negara yang dirampas pasukan Amerika Serikat, ketika melakukan kudeta pada 2004 lalu, terungkap bahwa ada tindakan tidak terpuji atau pesan negatif yang terdapat di balik film itu.",0
Lipi Ungkap Teori Virus Corona Covid-19 Bukan Senjata Biologi,"Peneliti bidang mikrobiologi LIPI Sugiyono Saputra mengatakan virus SARS-CoV-2 tidak memiliki kesamaan gen dengan virus corona lain seperti flu, MERS hingga SARS 2002.",0
Tanda Yang Dikira Teror Itu Ternyata Untuk Kegiatan Pramuka,Tanda yang Dikira Teror Itu Ternyata untuk Kegiatan Pramuka,0
Foto Bareng Anies Baswedan Dengan Ulama Petinggi Isis Yusuf Al-Qaradhawi,"Kog bisa ya mereka berfotoan bareng dg mesra. Bukankah yusuf qardawi adl ulama tertinggi isis dan al aeda!
 Ada apa dg anies?
 Masih ingat perang antara isis dg jabahbal nusra. Abu bakarval bahgdadi memohon fatwa kpd yusuf al qardawi",0
"Bukan Hoax, Fpi Ikut Buka Bersama Di Masjidilaqsa","Hadir dalam misi tersebut adalah ustad Bachtiar Nasir dari AQL, juga 
dari FPI, serta beberapa ustad lainnya. Di sela acara itu, ada MoU 
dengan Yayasan IHYA untuk program Palestina,",0
Kunjungan Jokowi Ke Nz Disambut Aksi Papua Merdeka,VIRAL Video Jokowi DIPERMALUKAN di Selandia Baru. Intelijen Kecolongan?,0
"Pertemuan Netizen Dengan Kapolri, Jendral Tito Karnavian Untuk Anti Hoax","Pertemuan Netizen dengan Kapolri, Jenderal Tito Karnavian pagi tadi memberikan pesan-pesan seperti ini:
 1. Waspadai bahaya pembentukan opini yang berusaha memecah belah bangsa lewat media sosial
 2. #YukCerdas untuk memilah disinformasi dalam bentuk berita bully, bohong atau hoax
 3. Waspadai pihak2 yang memanfaatkan kasus Ahok untuk mendestabilisasi pemerintahan yang sah, secara ekonomi, kekacauan atau teror
 4. #YukBantu Polri dan jajarannya untuk dapat menjaga keseimbangan hak semua pihak tanpa merugikan pihak lain
 5. #SalingBantu dan #SalingJaga dalam memberi informasi dan laporan ketika ada indikasi hasutan, ajakan",0
Ratusan Pekerja Pertamina Ru Ii Dumai Tolak Akuisisi Pertagas,Salut buat Serikat Pekerja Pertamina yang berani menolak kebijakan Pemerintah.,0
: Waspadai Buah Naga Oplosan,"Mengkonsumsi Buah Naga perlu kejelian dalam memilih buah yang aman dikonsumsi, karena sudah banyak beredar buah naga yang diberi hormon oplosan dalam proses membesarkan buah",0
Indochina Penyebutan Untuk Negara Baru Indonesia-China,"Sebuah postingan foto kontainer dengan tulisan Indocina diberi narasi provokatif. Berikut narasinya:
 apa negara indocina itu memang ada? Presidennya siapa?",0
"Pernyataan Kepala Bssn Soal #Hoaxmembangun, Dari Maaf Hingga Bangga","Kalau itu dianggap suatu kesalahan, ya saya meminta maaf. Tapi niat saya nggak begitu sebenarnya",0
Kemenpan Rb: Tidak Ada Pengangkatan Cpns Jalur Indonesia Sehat,"udah dikonfirmasi, Kementerian Kesehatan tidak memiliki program pengangkatan CPNS jalur Indonesia Sehat,",0
Sandiaga Uno Memperoleh Pemberkatan Dari Pemuka Kristen Pada Saat Natal,"Sandiaga Uno hadir dalam acara perayaan natal di mana Uno tampak memperoleh doa (pemberkatan) dari para pemuka kristen.
 Dia mengabaikan begitu saja fatwa MUI yang
 mengtakan haram bagi umat islam mengikuti
 kegiatan peribadatan Kristen.",0
"Polri Bongkar Grup The Family Mca, Sindikat Penyebar Isu Provokatif","Polri Bongkar Grup The Family MCA, Sindikat Penyebar Isu Provokatif",0
Ujaran Kebencian Untuk Etnis China Yang Mengatasnamakan Sultan Hamengkubuwono X,"Sri Sultan Hamengkubuwono : Maaf Bukan SARA, Tapi Cina Dan Keturunannya Tidak Pantas Jadi Pemimpin Di Bumi Nusantara. Fakta Sejarah, Tionghoa Adalah Satu-Satunya Penghianat Negara Kesatuan Republik Indonesia (NKRI).",0
Tiga Bank Bumn Tidak Suntikkan Modal Ke Bank Muamalat,"Sempat mengemuka bahwa Bank Muamalat akan disuntikkan dana oleh sejumlah bank Badan Usaha Milik Negara (BUMN). Atas beredarnya isu tersebut, Bank Negara Indonesia (BNI), Bank Mandiri, dan Bank Rakyat Indonesia (BRI) memberikan bantahan bahwa akan menyuntikkan dana ke Bank Muamalat.",0
"Beredar Foto Mesra Fadli Zon Dengan Pelakor, Fakta Aslinya Munculkan Perdebatan",Namun belakangan diketahui jika foto-foto tersebut merupakan hasil editan oleh oknum yang tak bertanggung jawab.,0
Klarifikasi Dinas Kesehatan Kabupaten Cianjur Terkait Kabar Bocah Bernama Muhammad Zihad Menderita Gizi Buruk,Klarifikasi Dinas Kesehatan Kabupaten Cianjur Terkait Kabar Bocah Bernama Muhammad Zihad Menderita Gizi Buruk,0
11 Langkah Memverifikasi Sumber Berita Di Internet,"Liputan6.com, Jakarta  Informasi atau konten yang dimuat di internet belum tentu benar. Namun nyatanya, sebagian di antara kita masih saja ada yang suka menyebarkan berita yang berasal dari sumber tak tepercaya, yang kebenarannya tak bisa dipertanggungjawabkan.",0
"Hoax Bendera Terbalik, Panglima Tni Disebut Goblok","Hoax Bendera Terbalik, Panglima TNI Disebut Goblok",0
Who: T&J Tentang Coronavirus ,"Coronavirus adalah keluarga besar virus yang dapat menyebabkan penyakit pada hewan atau manusia. Pada manusia, beberapa coronavirus diketahui menyebabkan infeksi pernafasan mulai dari flu biasa hingga penyakit yang lebih parah seperti Middle East Respiratory Syndrome (MERS) dan Severe Acute Respiratory Syndrome (SARS). Virus corona yang paling baru ditemukan menyebabkan penyakit coronavirus COVID-19.",0
Hoaks Imbauan Anak Nu Dilarang Sekolah Di Muhammadiyah,"Imbauan kepada warga NU, untuk tidak menyekolahkan anak-anaknya di sekolah Muhammadiyah karena kami ingini menjaga kondusivitas dan aset milik kami. Tolong warga NU tepo seliro dan tahu diri  Prof Dr Haidar Nasir, Ketua Umum PP Muhammadiyah.",0
Pbnu Tidak Pernah Menuding Pemerintah Menggunakan Dana Csr Bumn Digunakan Untuk Gerakan Khilafah,Jelas berbeda antara mengalirkan dana dengan memanfaatkan dana. Karena itu temuan kasus sosial PBNU,0
Retas Akses Ke Akun Menggunakan Ping,Ternyata Hacker tim prabowo berhasil menembus jaringan @DivHumasPolri hanya melalui ping ke server @Twitter menggunakan CMD di windows XP hahahaha dan mereka berhasil menembus ping ping ping  @prabowo @fadlizon @Fahrihamzah #08LicikdanPicik,0
"Dituduh Menistakan Agama, Walikota Risma Dilaporkan Ke Polisi","Dituduh Menistakan Agama, Walikota Risma dilaporkan ke Polisi",0
"Polda Metro Ungkap Komplotan Skimming Nasabah Via Atm, Modusnya?","Polda Metro Ungkap Komplotan Skimming Nasabah via ATM, Modusnya?",0
Guru Penyebar Hoax Soal Megawati Minta Adzan Ditiadakan Ditangkap,Guru Penyebar Hoax Soal Megawati Minta Adzan Ditiadakan Ditangkap,0
Penjelasan Kpu Gowa Terkait Baliho Surat Suara Yang Tidak Mencantumkan Foto Capres-Cawapres Prabowo-Sandi,"Hari ini
Pemasangan baliho contoh surat suara Pilpres 
oleh KPU
Di Kec Bontonompo Kab Gowa
Mana foto capres cawapres 02?
Luar Biasa KPU Gowa
Kalian sudah mencederai demokrasi",0
Harian Kompas Upercut Jokowi. Kematian Bayi Berantai Di Papua Tersembunyi Dibalik Pencitraan,"HARIAN KOMPAS UPERCUT JOKOWI. KEMATIAN BAYI BERANTAI DI PAPUA TERSEMBUNYI DIBALIK PENCITRAAN
Oleh: Natalius Pigai
Mungkin inilah kesempatan pertama pada Halaman Depan (Headline) Kompas, Media Mainstream Nasional merilis tragedi kemanusiaan di Papua berjudul  Bencana Kesehatan di Asmat",0
"Soal Palestina, Jokowi Diduga Ambigu, Menipu Rakyat Dan Umat Muslim","SOAL PALESTINA, JOKOWI DIDUGA AMBIGU, MENIPU RAKYAT DAN UMAT MUSLIM
Oleh: Natalius Pigai
Duta Besar Amerika Serikat untuk Indonesia Joseph Donovan menyebut sikap AS yang mengakui Yerusalem sebagai ibu kota Israel sudah dikonsultasikan dengan Indonesia. Komunikasi itu dilakukan sebelum klaim ini diumumkan Presiden AS Donald Trump. Kami telah berkonsultasi dengan para teman, mitra, dan sekutu kami, termasuk Indonesia, sebelum Presiden Trump mengeluarkan keputusannya, ",0
"Diterpa Isu Kualitas Rastra, Camat Palu Barat Beri Klarifikasi","Camat Palu Barat, Asrul : Di kecamatan Palu Barat, saya tidak pernah menerima laporan terkait dengan beras yang dibagikan dari Bulog yang dinilai tidak layak konsumsi.",0
Bpjs Lebih Sadis Dari Pajak,"Bener Nggah nie.
 Bagi yg sudah mengikuti BPJS apakah ada yg telah menerima surat edaran mohon bisa dibuka disini
 * MENGERIKAN, . . . . . *
 BPJS lebih sadis dari PAJAK",0
Polri Tidak Lakukan Perubahan Pelat Kendaraan Bermotor Menjadi Warna - Warni,Pelat yang warna-warni itu hoax,0
Pt Aheb Nyatakan Torpedo Tak Mengandung Zat Benzo Yang Sebabkan 56 Pelajar Smp 18 Pekanbaru Menyayat Tangannya,Produk kami sangat aman dan dipastikan tidak,0
Walikota Solo Larang Buber Dan Halal Bihalal,Sekretaris Daerah (Sekda) Solo yang mengeluarkan surat edaran (SE) larangan buka bersama (bukber) dan halalbihalal yang mengatasnamakan satuan kerja perangkat daerah (SKPD).,0
: Waspada! Es Teh Campur Limbah Di Monas,WASPADA! Es Teh Campur Limbah di Monas,0
"Jangankan Anies Yang Di Acuhkan, Bahkan Seorang Raja Di Tanah Jawa Pun Juga Merasakan Hal Yang Sama","Jangankan Anies yg di acuhkan, bahkan seorang raja di tanah Jawa pun juga merasakan hal yang sama.
 Apa artinya?",0
Metro Tv: Mafindo: Perlu Ada Kode Etik Bagi Influencer,"Beberapa waktu lalu ramai menjadi pembicaraan soal konten video yang dibuat musisi Anji bersama Hadi Pranoto yang mengklaim menemukan obat herbal covid-19. Meski Anji telah meminta maaf atas kegaduhan yang terjadi, namun yang menjadi sorotan yakni etika pembuat konten di media sosial. Masyarakat Anti Fitnah Indonesia (Mafindo) berpendapat bahwa perlu adanya kode etik sebagai pedoman bagi para influencer.",0
"Rs Wates Pasang Spanduk, Umumkan Bpjs Menunggak Belasan Miliar","Rumah Sakit Umum Daerah (RSUD) Wates di Kulon Progo, Daerah Istimewa Yogyakarta (DIY), menjerit lantaran klaim layanan kesehatan senilai Rp 13,4 miliar masih menggantung di BPJS Kesehatan.",0
Ahok Bersalaman Dengan Raja Salman Adalah Editan,"Broo.
 Kita harus cerdas seperti kasus BOM PANCI.
 Jika HP kalian bisa nge ZOOM maka lihat tangan si AHOK
 Karena cincin yang di gunakan itu bukan tangan AHOK
 Jadi kalo mau ngedit bahwa AHOX bersalaman dengan Raja Salman harus rapi dong
 Malu di konplen oleh Raden Adhi Winata ha ha ha",0
Rela Berkorban Demi Jihad Goban,"Mikir Loe ?
 Munarman Panglima ISIS Indonesia RELA BERKORBAN DEMI JIHAD GOBAN
 SEGAGAH GABAN BAYARAN GOBAN",0
"Klarifikasi Bmkg Terkait Prediksi Gempa Bermagnitudo 8,2 Dan Tsunami Di Beberapa Daerah Jateng",Pesan yang beredar sudah dapat dipastikan hoaks,0
Awan Hitam Menyedot Air Laut,"Astagfirullah
 Apakah ini tanda tanda akhir zaman semakin dekatt
 waallahualam
 Kejadian langka AWAN HITAM MENYEDOT AIR LAUT dalam beberapa menit yang membuat heboh warga.",0
Kepolisian Bantah Telah Menangkap Pelaku Jambret Di Cempaka Putih,"Iya identitas sudah dikantongi, kami masih lakukan penyelidikan mas, kata Komisaris Rosiana",0
Foto Munas Partai Hanura Ada Ahok,Di foto ini pada acara Munas Partai Hanura beberapa hari yang lalu di Bali. Perhatikan di foto ini yang paling kiri pasti ada yang kenal? Hmmmm luar biasa.,0
"Anggaran Tempat Sampah Jerman Rp 9,58 M, Dinas Lh Dki Buka Suara","Setelah melakukan pertimbangan secara teknis, kami pilih produk Jerman 
dengan pertimbangan kualitas, ucap dia. Isnawa pun menyebutkan garbage 
bin yang dipesan telah memiliki sertifikat standardisasi kelas dunia 
EN-840.",0
"Dapat Info Hoax Kebakaran, Mobil Damkar Alami Kecelakaan Dan Tewaskan 3 Anggota Pemadam","Innaillahi Wainnaillahi Rojiun, Damkar INDONESIA kembali BERDUKA. Mewakili rekan-rekan Pemadam Kebakaran Kota Medan, kami turut berduka cita atas kejadian yang menimpa rekan-rekan damkar di Poso",0
: Penerapan Sistem Ganjil Genap Di Tol Cikampek,rencana membatasi kendaraan berdasarkan pelat nomor ganjil-genap di Tol Jakarta-Cikampek akan diuji coba pada Selasa (22/8/2017). Uji coba sistem tersebut hanya dilakukan pada pagi hari.,0
Konsumen Tuntut Produk Quaker Oats Karena Mengandung Pestisida,"Konsumen menuntut Pepscico memberikan ganti rugi. Namun demikian, pihak Pepsico enggan mengomentari perkara ini.  Tuntutan yang dilayangkan konsumen tersebut menyatakan bahwa citra Quaker Oats yang menampilkan potret pria Quaker dengan topi era kolonial bersifat menjebak. Pasalnya, konsumen seakan diajak berpikir bahwa oatmeal adalah makanan lawas, namun uji yang dilakukan menemukan produk itu mengandung biosida modern.",0
Klarifikasi Terkait Informasi Pihak Kepolisian Akan Bubarkan Warga Yang Salat Idul Adha Di Jembatan Ampera,"Beredar informasi di media sosial yang menyebutkan bahwa Kasatlantas Polresta Palembang, Andi Baso Rahman, akan membubarkan warga yang salat Idul Adha di Jembatan Ampera, Palembang, Sumatera Selatan.",0
"Pt Ultrajaya Milk Industry Tbk Mengklarifikasi Terkait Laporan Susu Ultra Kemasan Yang Mengandung Bakteri Di Sinjai, Sulawesi Selatan",Dalam surat tersebut diketahui ada sampel produk susu UHT yang mengandung bakteri Streptococcus sp.,0
Tim Kampanye Jokowi-Maruf Laporkan Akun Facebook Ke Polisi,"""masak orang seperti ini pantas sebagai presiden""",0
"Dirumorkan Punya Aturan Baru Pembatasan Waktu Pasien Bertemu Dokter, Bpjs Angkat Bicara","Kepala Humas BPJS Kesehatan, M. Iqbal Anas Maruf : Sekarang diuji coba dulu untuk dapat melakukan rujukan ke RS bagi pasien yang secara indikasi medis memerlukan pelayanan spesialis. (Sistem rujukan) menggunakan IT atau online,",0
: Motif Pembacokan Hermansyah Karena Kasus Chat Rizieq Shihab,Motif Pembacokan Hermansyah Karena Kasus Chat Rizieq Shihab,0
Jari Tangan Pria Menghitam Setelah Membakar Al-Quran,"Setelah Membakar Al-Quran Jari Tangan Pria Ini Menghitam dan Membusuk Mengeluarkan Bau Menjijikan
 Postingan sudah dibagikan 320 kali dan 1500 kali, ketika tangkapan layar dibuat.",0
Metodologi Perang Informasi,Memerangi HOAX konteksnya bukan pro Jokowi atau anti Jokowi,0
Tusuk Gigi Sebarkan Hiv Aids,Tusuk Gigi Sebarkan HIV AIDS,0
: Membedah Tulisan Alfian Tanjung Yang Berjudul Manuver Pki Membelit Istana,Membedah Tulisan Alfian Tanjung yang Berjudul Manuver PKI Membelit Istana,0
Saracen Mungkin Telah Ditutup Tapi Indonesia Masih Perlu Rencana Untuk Menurunkan Generator Berita Palsu Lainnya.,Saracen may have been shut down but Indonesia still needs a plan to take down other fake news generators,0
Gunung Gonggang Di Sagaranten Sukabumi Dikabarkan Akan Meletus,"Muncul isu Gunung Gonggang, yang berada di antara Kecamatan Sagaranten dan Purabaya, disebut akan meletus. Isu tersebut merebak di kalangan masyarakat, khususnya di wilayah Kecamatan Sagaranten dan Purabaya. Badan Meterorologi Klimatologi dan Geofisika (BMKG) memastikan isu tersebut hoax atau berita bohong.",0
"Mulai Tahun Depan, Pdip Minta Mui Agar Babi Panggan Halal.","MULAI TAHUN DEPAN, PDIP MINTA MUI AGAR BABI PANGGAN HALAL UNTUK DIKONSUMSI DIKALANGAN MASYARAKAT TERMASUK PESANTREN",0
Kementan Bantah Siluet Wajah Yang Ada Dibungkus Plastik Bertuliskan Beras Segar Dan Toko Tani Indonesia Ialah Presiden Jokowi,"Gambar atau foto yang tertera pada kemasan beras Toko Tani Indonesia adalah bukan foto Presiden RI Bapak Jokowi. Itu foto model staf Kementan di Biro Umum dan Pengadaan Kementan, Mas Agus Faizal, kata Kepala Biro Humas dan Informasi Publik Kementan, Kuntoro Boga Andri, Selasa (25/9).",0
Ketum Mui: Jangan Gunakan Nama Muslim Untuk Sebar Hoax,Ketum MUI: Jangan Gunakan Nama Muslim untuk Sebar Hoax,0
Film Pendek Berjudul Hoax,Film Pendek Berjudul Hoax,0
Belum Ada Rencana Ujian Nasional 2019 Diselenggarakan Sebanyak Tiga Kali,"Kepala BSNP, Bambang Suryadi menjelaskan isu Ujian Nasional (UNAS) 2019 akan dilaksanakan sebanyak tiga kali pada Januari, April dan Mei adalah tidak benar adanya.",0
Kpk Bantah Keluarkan Surat Edaran Terhadap Universitas Sam Ratulangi,Surat itu bukan berasal dari KPK. Kami pastikan surat itu palsu,0
Update Status Wna Yang Meninggal Di Atas Motor Positif Covid-19,"Warga negara asing (WNA) yang meninggal di atas motor di Jalan Imam Bojol, Denpasar, Bali, ternyata positif terjangkit virus Corona atau COVID-19.",0
: Panduan Mencerna Berita Agar Tidak Termakan & Sebarkan Hoax,Panduan Mencerna Berita Agar Tidak Termakan & Sebarkan Hoax,0
"Soal Wisata Halal Danau Toba, Gubernur Sumut: Itu Hoaks Sangat Jelek",Jangan pernah percaya dengan hasutan dan fitnah,0
: Ribuan Etnis China Singapura Turun Ke Jalan Menentang Terpilihnya Presiden Muslimah,PECAHHH! Ribuan Etnis China Singapura Turun ke Jalan Menentang Terpilihnya Presiden Muslimah,0
"Bisa Terbang Dan Stoppie, Jokowi Ternyata Pakai Pemeran Pengganti, Ini Dia Sosoknya","Wow, adegan terbang di atas Yamaha FZ1 juga stoppie dilakukan Presiden",0
: Lsf Mengklarifikasi Terkait Pemotongan 7 Menit Durasi Film Avengers Infinity War,LSF Mengklarifikasi Terkait Pemotongan 7 Menit Durasi Film Avengers Infinity War,0
Kominfo Memblokir Situs Cekktp,Kominfo mengimbau masyarakat untuk tidak mempercayai situs-situs yang meminta nomor induk kependudukan (NIK).,0
Klarifikasi Tvone Terkait Foto Ustadz Abdul Somad Dan Direksi Serta Karyawan Tvone Di Akun Twitter @Saididu,Rapat UAS dg TV ONE yang sudah dibayar oleh PRABOWO utk mengkondisikan Dukungannya utk pasangan PAS tidak terlepas dari peran KARNI ILYAS . UAS Mendapatkan dana Milyaran Rupiah dari Prabowo yang diambil dananya di AYANA MID PLAZA untuk bangun ISTANA MEGAH #UASDibayarPrabowo,0
Pertamina Bantah Mengurangi Kuota Bbm Bersubsidi Di Wilayah Solo Raya Dan Di Yogyakarta,"Atas isu terjadi kelangkaan Bahan Bakar Minyak (BBM) bersubsidi jenis solar di wilayah Solo Raya dan Daerah Istimewa (DI) Yogyakarta, PT. Pertamina akhirnya memberikan klarifikasi.",0
"Bahasa Jepang Ike Dikonotasikan Sebagai Kata Komunis, Sipit, Pki Dan Lgbt","Awas! Untuk orang tua yang memiliki putra dan putri yang sudah remaja dan beranjak dewasa, bekali dan bentengi putra-putri Anda denga ilmu Agama jika tidak ingin putar-putri Anda terjerumus ke dalam jurang kehancuran yang salah satunya adalah IKEH-IKEH
 Colek KOMUNIS
 Hmmm matanya sipit!",0
Klarifikasi @Susipudjiastuti Mengenai Mensupport 20 Bis Dari Pangandaran Untuk Aksi 411,"Untold Story:
 
 Kesaksian Tuan Guru Bajang @tgbID tentang Ibu @susipudjiastuti yang mensupport 20 bis dari pangandaran untuk aksi 411
 
 Demi Allah gw terharu! Semoga Bu Susi kelak tergolong orang2 yg husnul KhotimahAamiin YRA",0
"Anggotanya Dituding Sebagai Penganiaya Tahanan, Polres Subang Berikan Klarifikasi",KELAKUAN POLISI BRENGSEK JAMAN NOW yang biarkan tahanannya di siksa sampai tewas di Polres Subang.,0
Satgas Saber Pungli Memasukkan Infaq Sebagai Pungli,"Ketua Baznas: Kalau Infaq Masih Dikategorikan Pungli, Langkahi Mayatku",0
Usus Buntu Bukan Disebabkan Oleh Menelan Biji Jambu,Bukan Karena Biji Cabe atau Biji Jambu akan tetapi ternyata justru INILAH Penyebab anda bisa terkena Usus Buntu yang sering di sepelekan!,0
Kak Seto Marah Dengan Film Naura,"Ka seto MARAH dg film Naura.
Pertanda iman melekat dlm jiwa Beliau
Yg cuex agamanya di lecehkan jangan2 hidungnya pesex.",0
Taman Impian Jaya Ancol Bantah Menggratiskan Tiket Masuk Mulai 14 Oktober Hingga 6 Bulan Kedepan,Jelas hoax,0
Kompas: Infodemi Membuat Publik Abai Dengan Bahaya Covid-19,"Lebih dari 40 persen hoaks menyasar isu pencegahan dan pengobatan Covid-19. Jadi, kita perlu hati-hati jika ada klaim penemuan obat atau pencegahan Covid-19,",0
Di Turki Juga Ada Brand 212,Di Turkey juga ada brand 212,0
Kadis Lh Dki Jakarta Tidak Meminta Sejumlah Uang Untuk Keperluan Tertentu Melalui Akun Media Sosial,dgn modus minta bantuan dana yatim piatu dll.,0
Rangkuman 40 Berita Hoax Kesehatan Terbanyak,Rangkuman 40 Berita Hoax Kesehatan Terbanyak,0
