tanggal,judul,narasi,label
17-Jul-18,"Coach Indra Sjafri: Saya Pernah 1 Tahun Tak Digaji, Tapi Ikhlas",Kendati sukses mengantarkan Timnas Indonesia U-19 juara Piala AFF U-19 2013 dan lolos ke putaran final Piala Asia U-19 2014,0
16-Sep-18,Misbakhun Bantah Fasilitasi Rscc Adakan Konferensi Pers Terkait Pemblokiran Rekening Bank Milik Ruben Ps Marey,"Undangan Peliputan yang disebarkan dengan mengatas namakan Ratna Sarumpaet Crisis Center (RSCC) di atas adalah undangan palsu dan hoaks. Sebagai anggota DPR RI, saya tidak pernah menerima pengaduan soal masalah tersebut, ujar Anggota DPR Komisi XI Fraksi Golkar, Misbakhun, Minggu (16/9).",0
11-Dec-17,Penolakan Safari Dakwah Ustad Somad Di Bali,Penolakan Safari Dakwah Ustad Somad di Bali,1
1-May-16,Ahok Minta Warga Luar Batang Wakafkan Tanah Untuk Plaza,"Ahok Minta Warga Luar Batang Wakafkan Tanah untuk Plaza, Warga: Kenapa Bukan Apartemen yang Diwakafkan?",0
27-Apr-16,Dpr Curiga 5 Buruh China Yang Ditangkap Tni Au Masuk Wilayah Halim Sebenarnya Intelijen,DPR Curiga 5 Buruh China Yang Ditangkap TNI AU Masuk Wilayah Halim Sebenarnya Intelijen,0
28-Jul-20,Foto Wapres Maruf Dengan Narasi Lebih Suka Jaga Kursi Dari Pada Agamanya,"Lebih suka jaga kursi dari pada agamanya,",1
31-Agu-18,Bappenas Bantah Tudingan Sandiaga Uno Yang Sebut Pemerintah Mengintervensi Data Bps,"Itu sama sekali tidak benar, mereka (BPS) punya undang-undang yang menunjukkan independensi mereka, kata Menteri Perencanaan dan Pembangunan Nasional/Kepala Bappenas, Bambang Brodjonegoro, Jumat (31/8).",0
04-Okt-18,Ketum Partai Demokrat Sby Akan Menyatakan Mundur Dari Koalisi Indonesia Adil Makmur Dalam Waktu Dekat,SAYA DALAM WAKTU DEKAT AYAS NAMA KETUA PARTAI DEMOKRAT AKAN MENYATAKAN MUNDUR DARI KOALISI Adil Makmur,1
24-Apr-18,Pengadaan Tas Sembako Jokowi Rp 3 Miliar Sudah Ada Sejak Presiden Terdahulu,"Wow, Terkuak Pengadaan Sembako Bantuan Presiden Pakai Dana APBN Senilai 12 Miliar Lebih! Sebelumnya terbongkar pengadaan TAS sembako sedot dana APBN 3 Miliar Padahal, Bawaslu sudah memperingatkan Jokowi untuk hentikan kegiatan bagi-bagi sembako.",0
7-Dec-16,Rela Berkorban Demi Jihad Goban,Mikir Loe ? Munarman Panglima ISIS Indonesia RELA BERKORBAN DEMI JIHAD GOBAN SEGAGAH GABAN BAYARAN GOBAN,0
20-Feb-17,7 Tipe Informasi Hoax,7 Tipe Informasi Hoax,0
26-Sep-18,Kemenag Bantah Edaran Surat Guru Madrasah Wajib Melengkapi Data,"Belum lama ini beredar surat yang menginformasikan mengenai kurang lengkapnya data guru sekolah madrasah negeri/swasta di media sosial. Dalam surat tersebut, pengirim juga mengatasnamakan pihak Kementerian Agama ( Kemenag) RI dengan modus mengambil data pribadi untuk disalahgunakan.",0
18-Sep-19,Pentingnya Membaca Seluruh Isi Berita Bukan Hanya Judul Beritanya,Isi artikel pada situs riausky.com tersebut menyatakan keheranan Kapolri Jenderal (Pol) Tito Karnavian karena tidak ada perkebunan sawit maupun tanaman industri lainnya yang ikut terbakar. Bukan karena tidak ada kebakaran lahan dan hutan secara keseluruhan.,0
27-Sep-17,Warga Tanpa Bpjs Sulit Mengurus Berkas Di 2018,"Hati hati yg ga punya BPJS karna thun dpn 2018 akan sulit ut kepengurusan bahkan ga bisa ngurus berkas Simak, INFO UNTUK PESERTA BPJS MANDIRI",1
11-May-18,Mahfud Md Bantah Mengusulkan Penghentian Kasus Novel Baswedan,"Itu kan ada videonya, dilihat saja videonya yang lengkap. Ada di YouTube kok. Konteksnya jelas, bukan hanya potongan video,",0
28-May-18,Surat Edaran Dinkes Kota Palopo Terkait Warung Makan Dengan Makanan Yang Mengandung Formalin Dan Boraks,Disini saya merasa ndak mau lagi makan bakso Ini data dari dinkes palopo. no hoax dan tipu2. kalau gak percaya bisa tanya langsung ke kerabat atau siapa saja yang kerja di dinkes palopo. Ini data dari dinkes palopo. no hoax dan tipu2. kalau gak percaya bisa tanya langsung ke kerabat atau siapa saja yang kerja di dinkes palopo.,1
5-Jul-20,Gambar Tangkapan Layar Berita Viva.Co.Id Berjudul Kementan Produksi Massal Kalung Antivirus Corona Bulan Depan Dengan Foto Headline Kalung Bertaring,Entar lagi jual karet gelang. #KalungAntiBego,1
18-Agu-18,Bmkg Menilai Pemberitaan Aljazeera Yang Mengatakan Polusi Udara Di Jakarta Tidak Sehat Jelang Asian Games Adalah Berlebihan,"Data dari pengukuran satu lokasi saja seharusnya tidak bisa digunakan mengeneralisir kondisi mutu udara seluruh Jakarta, kata Kepala BMKG, Dwikorita Karnawati, Sabtu (18/8).",0
6-Jun-18,Kh Asep Saifuddin Chalim Bantah Sebut Orang Yang Menyarankan Memilih Gus Ipul Telah Berkhianat,"Itu istilah hoax, itu sangat keji sekali. Saya punya rambu, saya punya upaya keras untuk tidak pernah mengatakan orang",0
20-Jul-20,Laser Dari Termometer Gun Akan Merusak Struktur Otak,"IN: Saya nolak. Kalau Anda mau periksa, bukan periksa kepala saya, periksa sini (menunjukkan punggung telapak tangan), kenapa? Karena handgun termometer itu, itu untuk memeriksa kabel panas. Lasernya dipakai untuk laser memeriksa kabel panas bukan untuk meriksa untuk temperatur manusia. Dan kita mau terima! (tertawa) Dan mereka jual alat dengan mahal! Coba kebayang kan? Bagaimana mereka jual alat tapi kemudian kita dibodohi kepala kita ditembak laser, kita tidak tahu dampak kerusakan pada struktur otak kayak (kue?) gimana gitu ya, kalau saya gak mau.",1
1-Jul-20,Video Benarkah Covid Ada?,Benarkah COVID ada?,1
15-Nov-17,Toyota Kadal Meluncur Bulan April 2018,Namanya: Toyota Kadal Launching: April 2018 OTR Jabodetabek: Rp. 37.000.000 Semoga ? Mari Bergabung Bersama Kami Sekarang Juga : http://bit.ly/2vNLTFK,1
14-Mar-18,Menkominfo Rudiantara Dipaksa Intelijen China Untuk Bocorkan Minimal 70 Juta Data Kk Dan Nik Yang Sesuai,Menkominfo Rudiantara dipaksa intelijen China untuk bocorkan minimal 70 juta data KK dan NIK yang sesuai | Rudiantara dipaksa kejar target paling lambat akhir Mei tahun ini untuk produksi jutaan KTP di Beijing atas arahan Xi Jin Ping untuk pemenangan Jokowi | *infovalid,1
21-Jul-19,Pendeta Di Brazil: Wanita Gemuk Tidak Bisa Masuk Sorga,"Di Indonesia beberapa waktu lalu ada pemuka agama yg ngomong wanita soleha itu bb nya tidak lebih dari 55 kg. Pengikutnya iya iya aja. Di Brazil ada pemuka agama yang bilang wanita gemuk tidak bisa masuk sorga. Dan akibatnya adalah, pemuka agama itu mental dari mimbar.",1
11-Dec-15,Jokowi Memperpanjang Kontrak Freeport,Sungguh licik sekali pemerintahan Jokowi dengan menciptakan konflik KPK dan Polri diam-diam memperpanjang kontrak PT Freeport Indonesia agar masyarakat tidak terlalu memperhatikan proses perpanjangan kontrak tersebut.,1
19-May-18,Sofyan Tsauri Brimob Pencetak Teroris,"*SOFYAN TSAURI* *BRIMOB PENCETAK TERORIS* [.] Melalui persidangan panjang akhirnya Ust ABB divonis 18 tahun penjara, sedangkan Sufyan Tsauri *Sang Gembong Pencetak Teroris* hanya beberapa tahun via sidang santai & kini sudah bebas bahkan tampil bersama Kapolri dalam acara ILC TV One pada tanggal 15 Mei 2018.",1
11-Aug-20,Kanada Sudah Terbebas Dari Covid-19,"CANADA is now Covid free! i hope philippines next, dont lose hope, GOD will heal!",1
26-Apr-19,Cokelat Mermaid Memakan Korban,Untuk yg punya ANAK-ANAK KECIL DIRUMAH ! Ati* jajanan PERMEN-COKLATMEMATIKAN! Korban tonggo kampung,0
21-Jun-18,"Klarifikasi Pihak Kepolisian Terkait Isu Pembegalan Di Pesing, Jakarta Barat","Jakarta Barat ada yang menyatakan tak aman, dengan beredarnya voice note pembegalan, di Jembatan Fly Over pesing. Itu tidak benar. Hoaks,",0
6-Jul-18,Kantor Staf Kepresidenan Mengklarifikasi Bahwa Tidak Ada Dokumen Penting Negara Yang Hilang Pada Kasus Pencurian Terhadap Stafnya,"Oh enggak. Bagi KSP, hampir semua pekerjaan-pekerjaan itu justru kami umumkan.",0
15-Mar-18,Dengan Air Mata Pm Kanada Menyambut Pengungsi Dari Suriah |  With Tears Pm Of Canada Welcomed The Refugees From Syria,Dengan air mata pm kanada menyambut pengungsi dari Suriah. Dia mengirim pesawat ke Suriah untuk membawa orang-orang Suriah. Dia berkata kepada mereka ini adalah rumah anda. 25000 pengungsi Suriah telah dibawa ke kanada sampai sekarang. Mereka semua telah diberi status penduduk permanen Kanada. Dia adalah kebanggan dunia! Dia adalah pahlawan besar saat ini.,0
14-Mar-20,Who: Saran Penyakit Coronavirus  Untuk Umum: Membantah Mitos,"Dari bukti sejauh ini, virus COVID-19 dapat ditularkan di SEMUA AREA, termasuk daerah dengan cuaca panas dan lembab. Apa pun iklimnya, lakukan tindakan perlindungan jika Anda tinggal di, atau bepergian ke area yang melaporkan COVID-19. Cara terbaik untuk melindungi diri dari COVID-19 adalah dengan sering membersihkan tangan. Dengan melakukan ini, Anda menghilangkan virus yang mungkin ada di tangan Anda dan menghindari infeksi yang dapat terjadi saat menyentuh mata, mulut, dan hidung Anda.",0
16-Nov-17,Fake News Becomes A Business Model: Researchers,Fake news becomes a business model: researchers,0
4-Mar-20,Virus Corona Mati Dalam Suhu 26-27 Derajat Dan Saat Terkena Sinar Matahari,"Dia juga menginformasikan bahwa tipe baru virus pneumonia koroner tidak tahan panas dan akan terbunuh dalam suhu 26-27 derajat. Karena itu, minumlah air panas untuk mencegah virus. Olahraga, Anda tidak akan terinfeksi virus.",1
1-Aug-20,Transmart Ditutup Selama 10 Hari Karena Belasan Orang Terpapar Covid-19,Info hari ini usahakan hindari berkunjung ke Transmart hari ini instruksi Gubernur akan di tutup selama 10 hri di karenakan belasan orang terpapar positif COVID-19. Hari ini Pol-PP berkoordinasi dgn Polda dan pangdam akan menutup transmart demikian utk di sampaikan ke keluarga kita masing2. utk semnetra jgn berkunjung ke sana dlu. Tks.,1
28-Nov-15,Jokowi Lebih Memilih Helikopter Buatan Luar Negeri Dibandingkan Buatan Pt Dirgantara Indonesia,"INSTING MAKELAR AKU Awalnya kaget, membaca berita dari berbagai Media nasional soal Pembelian Hellikopter Presiden jokowi. Dalam berita banyak disebutkan PT.DI Produksi Hellikopter sendiri jenis EC-725 dan lebih canggih, kenapa Pemerintah membeli Helikppter VVIP AW101 produksi Italia dan Inggris itu ?",0
8-Oct-19,Kejadian Kapal Fery Makassar Ke Selayar Tenggelam Jam 2 Siang Hari Ini,Semoga saudara kita diberikan keselamatan kejadian kapal fery makassar ke selayar tenggelam jam 2 siang hari ini,1
14-Feb-20,Minyak Goreng Asri Produksi Leong Hup Terbuat Dari Minyak Babi,"klo di lihat memang bagus terkesima dg nama ASRI seakan akan Islami, padahal minyak goreng ini terbuat dari minyak babiproduksi LEONG HUP produk baru yg di beri nama ASRI dr malakaadalah china terkaya yg punya peternakan BABI terbesar di Malakaoleh karena itu tlg sebarkan / viralkan ke semua saudara muslim di seluruh nusantara",1
6-Sep-17,Propaganda: Senjata Paling Ampuh Dalam Perang,Propaganda: Senjata Paling Ampuh dalam Perang,0
11-Jan-18,Manfaat Air Hangat ,"? *M A N F A A T* *AIR HANGAT* ( agak panas dikit ) *Sekelompok Dokter Jepang menegaskan bahwa air hangat adalah ?% efektif dalam menyelesaikan beberapa problems kesehatan, termasuk:* _*Sakit kepala, migrain, tekanan darah tinggi, tekanan darah rendah, nyeri sendi, tiba-tiba meningkat dan penurunan detak jantung, Epilepsi, meningkatnya tingkat kolesterol, batuk, ketidak nyamanan fisik, sakit golu, asma, hooping batuk.",0
24-Feb-20,Tangkapan Layar Rieke Dyah:Aku Bingung Memangnya Kalau Pki Bangkit Kembali Kenapa?Ada Masalah Ya?,Rieke Dyah:Aku Bingung Memangnya Kalau PKI Bangkit Kembali Kenapa?Ada Masalah Ya?,1
6-Nov-18,Kemenhub Klarifikasi Terkait Isu Pilot Indonesia Banyak Yang Tidak Lulus Ujian Simulator Airbus Di Australia,"Al Jazeera merilis kabar bahwa ternyata pilot di maskapai penerbangan di Indonesia ada yang tidak lulus tes simulator pesawat di Australia. Anehnya, begitu pulang ke Indonesia, mendapat izin terbang.",0
26-Dec-17,Ibadah Di Gereja Hkbp Filadelfia Bekasi Diganggu Speaker,"Harusnya gk perlu bgini. toh jg urusan surga neraka pribadi masing-masing. Tkp: Bekasi, Jawa Barat, Indonesia. (2) Anda merasa Muslim terzolimi oleh media? pernah media membahas masalah sprti ini? jangan merasa terzolimi hny karena kasus Buni Yani! RT",0
22-Nov-17,Penjahat Gunakan Spray Bius Untuk Lumpuhkan Korban,"Himbauan Mohon teman2 yang menggunakan kendaraan roda 2 bilamana parkir supaya helm jgn ditaruh begitu saja, apalagi saat ke ATM. Modus baru pelaku memperdaya korban dgn cara sprey/disemprotkan pd busa helm/bius. Begitu korban mengendarai motornya tdk lama dia akan jatuh pingsan hingga pelaku dgn mudah mengambil motor dan harta benda lainnya. Silakan sebarkan di group wa copasgrup relawan. Kisah nyata di daerah probolinggo, delta mas dan surabaya, Malang, Batu, Blitar sepulangnya dari ATM",1
17-Mar-17,Video Pria Terbaring Berazan Adalah Kh Hasyim Muzadi,"Keempat sumber tersebut memiliki satu narasi yang sama, yakni mengatakan kalau video tersebut adalah video Dr. KH. Hasyim Muzadi mengumandangkan azan subuh sebelum wafat.",0
5-Jan-18,"Simalakama Jokowi, Anut Mazhab Washington Consensus, Sri Mulyani Gunakan Tax Amnesti Untuk Keruk Uang Pajak","Mazhab Washington Consensus yg dianut Sri Mulyani menjadi pedoman bertindak dalam urusan pajak, salah satu dari 10 (sepuluh) pokok rekomendasi Washington Consensus adalah : Reformasi Pajak, dengan memperluas basis pemungutan pajak.",0
8-Oct-17,Arun Bakal Polisikan Pembuat Info Hoax Soal Bank Muamalat,BANK MUAMALAT JADI DICAPLOK LIPPO* Assalamualaikum. Baru saja mendpt info dr org dalam Bank Plat Merah Gerakan Proyek Meikarta sungguh cerdik dan licin Dan lagi2 umat islam sepertinya kalah Lippo group baru saja membeli Bank Muammalat melalui konsorsium Minapadi Saat ini Bank Muammalat sdh milik Lippo dan sdh siap akan digunakan sbg Bank resmi supporter pembiayaan apartemen2 Meikarta. Mereka cerdik melihat gerakan 212 kmrn,1
1-Jun-20,Sms Kode Voucher Game Online Indomaret,"INDOMARET, (nomor telepon dirahasiakan) Terima kasih sudah berbelanja di Indomaret! Berikut adalah kode voucher yang Anda pesan: [game 1088 coin] [1] => ZP3MRXO81BHKV9QL Aktifkan kode Voucher Whatsapp anda Balas pesan ini untuk menyapa INDOMARET. TANPA BIAYA!",1
17-Aug-17,Yenny Wahid : Pbnu Gagal Paham Terhadap Kebijakan Pemerintah Lima Hari Sekolah,"SABILILLH.net ~ Jakarta Direktur Wahid Foundation, Yenny Wahid bersama pegiat pedidikan Najeela Shihab pada hari Selasa 15 Agustus 2017 mendatangi Kantor Kemendikbud. Kedatangan mereka hendak menemui Menteri Pendidikan dan Kebudayaan Muhajir Effendy. Kepentingannya untuk tabayun terhadap kebijakan pemerintah yang sedang banyak mendapat perhatian publik, yaitu Lima Hari Sekolah (LHS).",0
6-Oct-19,Polisi Tangkap 3 Penyebar Video Hoaks Yel Tni Macan Jadi Kucing,"Direktorat Tindak Pidana Siber Bareskrim Polri menangkap tiga tersangka terkait video hoaks yel-yel TNI yang diganti dengan nyanyian suporter sepakbola. Yel-yel TNI dalam video tersebut diganti dengan lirik nyanyian suporter sepakbola yang berbunyi, Macane dadi Kucing. Meong. Meong. Meong",0
3-Mar-17,Polisi Tangkap Perekayasa Chat Hoax Kapolri Dan Kapolda Jabar,Polisi Tangkap Perekayasa Chat Hoax Kapolri dan Kapolda Jabar,0
9-Feb-19,Terakhir Yang Diketahui Adalah Terhadap Sam Lokon Anggota Knpb,Ternyata penggunaan ular untuk interogasi orang Papua yang ditangkap cukup marak. Terakhir yang diketahui adalah terhadap Sam Lokon anggota KNPB. Video ini kabarnya di Wamena.,1
5-May-20,Pemerintah Membagikan Kuota 10Gb Gratis Sebagai Insentif Untuk Melawan Covid-19,Maka dari itu pemerintah bekerja sama dengan seluruh provider diindonesia membagikan kuota sebesar 10GB agar kita semua tetap berkomunikasi.,1
22-Sep-18,Pemelintiran Konteks Video Sby Coblos Nomor 1,(1) @hendraIG: Ingat pesan pak SBY ya,1
6-Sep-19,Ratik Tagak,"Dalam video itu bukan sedang melaksanakan salat, melainkan sebuah gerakan di luar salat dan saat seluruh kegiatan tarawih, zikir, dan doa selesai dilaksanakan. Gerakan itu disebut Ratik Tagak.",1
20-Aug-20,Prabowo Resmi Jadi Wakil Presiden,DUNI4 TERKEJUT ! PRABOWO RESMI AKAN JDI W4K1L PRESIDEN INDONESIA.,1
13-Jan-20,Arief Budiman : Saya Siap Di Kutuk Menjadi Batu Jika Kpu Curang,"Arief Budiman : Saya Siap Di Kutuk Menjadi Batu Jika KPU Curang,",1
30-Mar-18,Klarifikasi Mahfud Md Terkait Tuduhan Ratna Sarumpaet Terhadapnya,"Prof Mahfud Md mengklarifikasi tuduhan Ratna Sarumpaet yang menyebut bahwa dirinya adalah aktor penyebar hoax dengan istilah war on hoax. Tuduhan tersebut dilontarkan Ratna perihal statement Prabowo yang menyebutkan bahwa pada tahun 2030 Indonesia akan Bubar berdasarkan literatur buku salah satu novel fiksi berjudul Ghost Fleet. Hal tersebut pun dibantah oleh Mahfud dan menjabarkan data dari Study McKinsey, bahwa pada 2030 mendatang Indonesia akan masuk 7 besar kekuatan ekonomi dunia.",0
28-Mar-18,Beberapa Tips Untuk Mengurangi Rasa Khawatir Menggunakan Facebook,"Tidak perlu menghapus akun Facebook, beberapa tips ini bisa mengurangi rasa khawatir menggunakannya []",0
8-Feb-17,Mengkonsumsi Sayap Dan Ceker Ayam Yang Disuntik Hormon Dapat Menyebabkan Kanker,"SAYAP & CEKER AYAM ? Entah Anda sudah menikah atau belum menikah, maka perempuan harus berhati. Baru ini artis Tionghoa Xia Yi divonis tumbuh LISTS dalam rahim (kista coklat) dan Hu Qing Wen melakukan operasi tumor yg penuh dengan darah, dan darahnya berwarna hitam gelap. Mereka berpikir bahwa setelah operasi akan sembuh, tetapi hanya beberapa bulan kambuh lagi, sehingga akhirnya mereka melakukan konsultasi ke ginekolog",1
1-Nov-16,: Jangan Percaya Posting Palsu Provokatif Di Medsos!,"Ahok Lepas 50 Marbut Masjid di Jakarta untuk Umrah di Makkah, diedit menjadi: Ahok Lepas 50 Marbut Masjid di Jakarta, Bohong.",0
07-Okt-18,Dorce Bantah Menuding Ratna Sarumpaet Sebagai Transgender,Sebenarnya saya tidak mau mengumbar aib seseorang. ya saya tahu itu dosa.,0
5-Oct-17,Dorongan Mengembalikan Dwi Fungsi Abri/Tni?,DIRGAHAYU HUT TNI YANG KE 72. HAPUSKAN KOMUNISME (PKI). KEMBALIKAN DWI FUNGSI ABRI/TNI.,0
6-Nov-17,11 Langkah Memverifikasi Sumber Berita Di Internet,"Liputan6.com, Jakarta Informasi atau konten yang dimuat di internet belum tentu benar. Namun nyatanya, sebagian di antara kita masih saja ada yang suka menyebarkan berita yang berasal dari sumber tak tepercaya, yang kebenarannya tak bisa dipertanggungjawabkan.",0
28-Dec-19,Video Penyiksaan Oleh Komunis Terhadap Muslim Uighur,Komunis bangzadddd,1
18-Dec-18,Broadcast Whatsapp Info Test Seleksi Gtt/Ptt,"Tabe. Siapa tahu ada keluargata yg guru SMA, ini ada info",1
22-Jan-20,Festival Durian 2020 Di Kawasan Pusat Pemerintahan Provinsi Banten,Yuk tgl 29 ramaikan festival durian banten tgl 29 Januari 2020 hadir yah di kp3b gedung distan provinsi Banten Banyak Aneka ragam durian banten yg berkualitas,1
21-Feb-18,Apabila Kalian Telah Menangkap Pki Yang Pura-Pura Gila Silahkan Kalian Hakimi Sendiri,"menghimbau kpd seluruh rakyat indonesia , Apabila kalian telah menangkap PKI yg purapura gila silahkan kalian hakimi sendiri secara masa!",0
9-Feb-19,Tentara Merah Rrc Di Pluit Jkt,"Tentara merah RRC di pluit jkt , Bahaya melanda Negri ku",1
15-Mar-19,Masukan Persatuan Tunanetra Indonesia Terkait Braile Surat Suara Di Jakarta 80% Salah Semua,Info dari Pertuni Ini masukan aja tadi dari Pertuni (persatuan tunanetra Indonesia) yg di Jkt ngecek surat suara yg braile ke KPU ternyata hampir 80% salah semua,1
7-Jan-18,Hingga Hari Ini Masih Banyak Yang Menghubungi Rumah Lansia Atmabrata,"Tidak masuk akal. Jika ada barita tidak masuk akal, jangan diteruskan atau disebarkan karena pasti akan menimbulkan gejolak Pikirkan orang lain, perasaan orang lain, Keadaan orang lain. Anda mungkin bisa diam dan bilang,tidak tahu, saya hanya meneruskan atau bodo amat bukan urusan gue olokmu gue sebarkan aja.",0
4-Feb-18,Kerabat Sebut Zaadit Taqwa Alami Gangguan Jiwa Sejak Jokowi Terpilih Menjadi Presiden,Kerabat Sebut Zaadit Taqwa Alami Gangguan Jiwa Sejak Jokowi Terpilih Menjadi Presiden Syedihhh,0
22-Apr-19,Klarifikasi Humas Pemprov Ntb Terkait Kabar Gurbenur Zulkifliemansyah Yang Disebut Mengucapkan Selamat Kepada Prabowo - Sandi,"Kami mengecam berita bohong atau hoaks tentang gubernur yang beredar di media sosial beberapa hari ini. Dalam berita hoaks melalui akun palsu FB Zulkieflimansyah itu, gubernur disebut memberikan ucapan selamat kepada salah satu calon presiden RI saat ini",0
15-Apr-20,Pasar Tebet Barat Ditutup Total Karena Ada Pedagang Positif Corona,"*JUST INFO* _*Pasar Tebet Barat*_ ditutup total karena pemilik _*Toko Kristal*_ di lantai 2 positif dan meninggal kemarin, lalu Kepala Pasar Jaya Tebet Barat inisiatif untuk rapid test ke semua pedagang Pasar Tebet Barat, hasilnya : _*2 orang karyawan toko kristal positif, dan 12 orang suspect*_ Hebatnya ke-14 orang itu baik2 aja, gak demam, gak sakit tenggorokan atau sesak nafas. Terinfeksi tanpa gejala, akhirnya dibawa langsung ke Wisma Atlet dan semua pedagang Pasar Tebet Barat wajib karantina mandiri di rumah dibawah Dinkes.",1
8-Jun-18,Klarifikasi Djarot Atas Informasi Yang Sebut Dirinya Menyuap Sejumlah Kepala Desa Di Kabupaten Asahan,"Breaking News Sejumlah Relawan Eramas Melaporkan bahwa Djarot tertangkap tangan tengah menyuap Kades2 di Asahan,tepatnya diacara rapat ketua2 Apdesi Simpang Kawat Asahan.saat ini tim investigasi tengah mengumpulkan bukti2 untuk diteruskan keranah hukum. DJAROT SEMPAT DILARIKAN KE KANTOR POLISI DAN BAWASLU NAMUN DILEPAS,BEBERAPA bukti TERMASUK KETERANGAN WARGA YNG MELIHAT sdh SEBAHAGIAN didapat,termasuk sobekan kertas pengikat uang dari bank berjumlah rp 10 juta rupiah beberapa lembar yang tercecer dilantai pertemuan.mohon doa agar kasus ini terbuka lebar kemata publik guna menyelamatkan Sumut dari tangan2 kotor yang dengan hasrat politik yang membabi buta",0
15-Jan-19,Jadi Sudah Tau Kan Kalau Rezim Jokowi Anti Islam,Jadi sudah tau kan kalau rezim jokowi anti islam Menggerakan aparat bukanya menjaga pengajian tabligh akbar malah dengan berbagai cara menggagalkan,1
4-Jan-18,Pengamat Media Sosial: Tak Ada Hoax Yang Positif,"Ya mana ada hoax positif, nggak ada hoax positif. Hoax itu berita bohong, informasi palsu. Nggak ada positif-positifnya",0
14-Sep-18,Revisi Deskripsi Foto Di Berita Tempo Rumah Tahan Gempa Rp 15 Juta Mulai Berdiri Di Lombok Utara,Tempo bertahan dengan berita hoax untuk menyanjung junjungannya.,0
9-Apr-20,Operasi Simpatik 2020 Polri,Operasi simpatik 2020 Dilarang berboncengan untuk memutus rantai covid-19. Yg melanggar kena tilang bagen surat2 komplit #ngakak_njirr,1
7-Feb-18,Logo Jawapos.Com Dicatut Untuk Hoax,Logo Jawapos.com Dicatut untuk Hoax,0
28-Apr-20,Foto Kim Jong-Un Meninggal Dunia Jadi Trending Twitter,Kim Jong-un Meninggal Dunia Jadi Trending Twitter https://bit[dot]ly/2KAYAK8 #KIMJONGUNDEAD,1
11-Oct-16,Harga Daging Lebih Murah Di Singapura Daripada Dki Jakarta,"Singapura yang tidak punya peternakan sapi, harga daging sapinya lebih murah daripada di Jakarta. Konyol enggak tuh. Memang perlu gubernur yang lebih mengerti, kata Sandiaga di UMJ, Tangerang Selatan, Selasa.",0
